Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW,SNWD
1991/12/24,51,53,50,0.01,,
1991/12/25,44,50,38,0.74,,
1991/12/26,38,40,35,0.35,,
1991/12/27,31,37,27,0.6,,
1991/12/28,23,28,20,0.01,,
1991/12/29,24,31,18,0,,
1991/12/30,29,38,21,0,,
1991/12/31,34,37,33,0.04,,
1992/1/1,35,39,33,0,,
1992/1/2,36,44,29,0,,
1992/1/3,42,44,40,0,,
1992/1/4,41,46,36,0,,
1992/1/5,46,47,42,1.05,,
1992/1/6,41,47,39,0.25,,
1992/1/7,38,42,35,0,,
1992/1/8,41,44,38,0.07,,
1992/1/9,38,43,32,0.01,,
1992/1/10,39,46,32,0,,
1992/1/11,43,50,37,0,,
1992/1/12,40,48,32,0,,
1992/1/13,40,45,37,0.02,,
1992/1/14,35,40,31,0,,
1992/1/15,33,41,28,0,,
1992/1/16,36,45,28,0,,
1992/1/17,37,44,31,0,,
1992/1/18,36,41,33,0,,
1992/1/19,37,42,29,0,,
1992/1/20,42,47,37,0,,
1992/1/21,40,47,32,0,,
1992/1/22,38,46,32,0,,
1992/1/23,36,43,31,0,,
1992/1/24,41,52,32,0,,
1992/1/25,42,50,39,0,,
1992/1/26,39,46,35,0,,
1992/1/27,39,47,34,0,,
1992/1/28,53,67,41,0,,
1992/1/29,51,56,49,0.09,,
1992/1/30,44,49,42,0.66,,
1992/1/31,36,42,31,0,,
1992/2/1,33,38,27,0,,
1992/2/2,40,46,33,0.12,,
1992/2/3,38,43,37,0.49,,
1992/2/4,37,43,32,0,,
1992/2/5,38,43,34,0,,
1992/2/6,39,46,31,0,,
1992/2/7,40,43,37,0,,
1992/2/8,39,45,36,0,,
1992/2/9,38,40,36,0,,
1992/2/10,41,47,36,0,,
1992/2/11,42,47,38,0,,
1992/2/12,41,53,31,0,,
1992/2/13,42,48,39,0,,
